alumno,PERIODO,COD CURSO,NOMBRE CURSO,SECCION,SESION-GRUPO,TIPO NOTA,NUM NOTA,PUNTAJE,PROMEDIO FINAL
71,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 1,1,0,3
71,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 2,1,5,3
71,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 3,1,0,3
71,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,PROYECTO FINAL,1,8,3
61,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 1,1,0,2
61,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 2,1,0,2
61,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 3,1,8,2
61,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,PROYECTO FINAL,1,0,2
242,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 1,1,19,16
242,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 2,1,14,16
242,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 3,1,15,16
242,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,PROYECTO FINAL,1,14,16
84,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 1,1,12,12
84,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 2,1,14,12
84,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 3,1,16,12
84,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,PROYECTO FINAL,1,8,12
135,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 1,1,19,17
135,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 2,1,14,17
135,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 3,1,18,17
135,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,PROYECTO FINAL,1,17,17
86,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 1,1,0,6
86,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 2,1,0,6
86,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 3,1,8,6
86,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,PROYECTO FINAL,1,16,6
199,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 1,1,16,15
199,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 2,1,18,15
199,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 3,1,14,15
199,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,PROYECTO FINAL,1,14,15
189,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 1,1,0,4
189,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 2,1,14,4
189,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 3,1,8,4
189,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,PROYECTO FINAL,1,0,4
141,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 1,1,12,9
141,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 2,1,11,9
141,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 3,1,0,9
141,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,PROYECTO FINAL,1,11,9
220,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 1,1,10,9
220,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 2,1,10,9
220,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 3,1,8,9
220,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,PROYECTO FINAL,1,8,9
203,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 1,1,15,13
203,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 2,1,16,13
203,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 3,1,16,13
203,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,PROYECTO FINAL,1,8,13
35,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 1,1,RET,RET
35,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 2,1,RET,RET
35,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 3,1,RET,RET
35,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,PROYECTO FINAL,1,RET,RET
221,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 1,1,14,15
221,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 2,1,18,15
221,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 3,1,15,15
221,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,PROYECTO FINAL,1,14,15
169,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 1,1,14,11
169,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 2,1,0,11
169,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 3,1,12,11
169,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,PROYECTO FINAL,1,15,11
72,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 1,1,19,19
72,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 2,1,19,19
72,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 3,1,20,19
72,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,PROYECTO FINAL,1,17,19
11,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 1,1,RET,RET
11,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 2,1,RET,RET
11,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 3,1,RET,RET
11,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,PROYECTO FINAL,1,RET,RET
209,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 1,1,0,8
209,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 2,1,12,8
209,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 3,1,8,8
209,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,PROYECTO FINAL,1,14,8
226,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 1,1,0,9
226,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 2,1,16,9
226,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 3,1,8,9
226,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,PROYECTO FINAL,1,15,9
41,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 1,1,19,20
41,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 2,1,19,20
41,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 3,1,20,20
41,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,PROYECTO FINAL,1,20,20
198,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 1,1,11,14
198,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 2,1,16,14
198,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 3,1,14,14
198,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,PROYECTO FINAL,1,15,14
20,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 1,1,16,12
20,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 2,1,16,12
20,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 3,1,8,12
20,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,PROYECTO FINAL,1,7,12
81,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 1,1,14,11
81,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 2,1,0,11
81,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 3,1,12,11
81,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,PROYECTO FINAL,1,16,11
69,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 1,1,0,0
69,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 2,1,0,0
69,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 3,1,0,0
69,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,PROYECTO FINAL,1,0,0
100,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 1,1,18,16
100,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 2,1,18,16
100,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 3,1,17,16
100,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,PROYECTO FINAL,1,11,16
65,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 1,1,14,11
65,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 2,1,12,11
65,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 3,1,0,11
65,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,PROYECTO FINAL,1,13,11
233,2019 - 1,GH1002,Arte y Tecnología,1,Laboratorio 1.00,EVALUACION CONTINUA 1,1,0,3
